id,jogador,idade,estilo,sugerir
1,PaulinhoBR,22,fps,sugerir jogos como CS GO Payday e Call of Duty
2,xplayer21,34,corrida,sugerir jogos como Trackmania e Need of Speed
3,Lelegamer,41,fps,sugerir jogos como CS GO e Call of Duty
4,xuxu,18,rpg,sugerir jogos como Orna e Dungeons & Dragons
5,watson,23,fps,sugerir jogos como CS GO e Call of Duty
6,Spotyg,31,rpg,sugerir jogos como Orna e Dungeons & Dragons
7,racerlight,59,corrida,sugerir jogos como Trackmania e Need of Speed
8,lentp,12,corrida,sugerir jogos como Trackmania e Need of Speed
9,teku,21,fps,sugerir jogos como CS GO e Call of Duty
10,youngnoob,47,rpg,sugerir jogos como Orna e Dungeons & Dragons
